DNI,nombre, Apellido_Materno,Apellido_Paterno,Fecha_Nac,teléfono,sexo
70000000,Brionna,Garcia,Johnson,1973-5-24,22217446,F
70000001,Hays,Smith,Rodriguez,1981-3-25,12691998,F
70000002,Jeana,Miller,White,1978-8-14,74683336,M
70000003,Olaf,Davis,Garcia,1971-12-16,51487467,F
70000004,Jalynn,Thompson,Anderson,1991-10-1,82849869,M
70000005,Claiborne,Garcia,Smith,1981-11-18,14639463,M
70000006,Tony,Garcia,Martinez,1993-2-13,86747731,F
70000007,Rueben,White,Taylor,1975-3-15,54386921,F
70000008,Selah,Jones,Miller,1987-1-22,65738478,M
70000009,Minta,Rodriguez,Rodriguez,1998-8-21,14912372,M
70000010,Sheryl,Thomas,Anderson,1992-2-14,54326954,F
70000011,Gustav,Williams,Anderson,1996-1-1,42919924,M
70000012,Anjali,White,Martinez,1979-3-13,27938422,F
70000013,Lorine,Johnson,Moore,1976-12-19,95975664,F
70000014,Ena,Martin,Miller,1983-4-19,68831569,M
70000015,Jerrel,Wilson,Moore,1998-1-24,34391554,F
70000016,Loney,Miller,Martinez,1972-10-25,43515439,F
70000017,Gary,Jackson,Thompson,1997-12-8,83513547,F
70000018,Kaliyah,Lee,White,1996-9-26,96126658,M
70000019,Lassie,Martin,Martin,1992-3-19,31379523,F
70000020,Giancarlo,Moore,Lee,1991-12-20,89771416,M
70000021,Gene,Thomas,Lee,1992-12-1,95922842,F
70000022,Audrina,Lee,White,1985-5-11,52718846,F
70000023,Marlena,Garcia,Wilson,1987-7-2,86887741,F
70000024,Einar,White,Johnson,1999-12-0,58328179,M
70000025,Aurora,Williams,Garcia,1975-1-9,63521183,F
70000026,Zaniyah,Miller,Miller,1985-11-26,73813489,F
70000027,Vernelle,Brown,Johnson,1988-5-13,12543542,M
70000028,Carra,White,Martinez,1970-8-16,72459666,M
70000029,Otha,Taylor,Miller,1987-3-24,38972293,M
70000030,Polly,Garcia,Wilson,1999-3-8,33675511,F
70000031,Lassie,Williams,Moore,1972-1-4,19274183,F
70000032,Maryjo,Moore,Thomas,1974-6-24,35882413,F
70000033,Linus,White,Smith,1981-4-16,45252357,M
70000034,Webster,Moore,Garcia,1983-7-12,11366394,M
70000035,Ferrell,Thomas,Wilson,1977-10-17,77361285,M
70000036,Timmie,Martin,Lee,1993-12-1,21656274,M
70000037,Godfrey,Brown,Lee,1987-1-26,24747765,F
70000038,Norene,Thomas,Jones,1991-10-11,78531255,F
70000039,Len,Anderson,Williams,1984-2-14,44317951,M
70000040,Arleth,Thompson,Anderson,1982-2-13,28371363,M
70000041,Twyla,Smith,Johnson,1987-8-11,28526381,F
70000042,Torrence,Miller,Johnson,1971-8-10,51675471,M
70000043,Newell,Rodriguez,Davis,1977-12-5,65726322,M
70000044,Verdell,Rodriguez,White,1970-12-16,88843181,F
70000045,Almeda,White,Thomas,1973-8-15,79248759,M
70000046,Eula,Martin,Taylor,1982-8-21,63625733,M
70000047,Kristoffer,Wilson,Smith,1981-12-7,94926761,F
70000048,Waldo,Brown,Thompson,1981-7-21,46585757,F
70000049,Adolphus,Thomas,Thompson,1980-5-24,25186631,F
70000050,Zed,Lee,Taylor,1974-3-17,31958321,F
70000051,Yulissa,Johnson,Taylor,1992-6-1,96692933,F
70000052,Daulton,Martinez,Wilson,1987-8-9,48611231,F
70000053,Tisa,Rodriguez,Rodriguez,1984-6-14,48175165,M
70000054,Rilla,Martinez,Moore,1990-11-1,86725737,M
70000055,Jordyn,Miller,Lee,1997-5-19,69446849,M
70000056,Noemi,Jackson,Johnson,1993-6-23,44716256,M
70000057,Janae,Martinez,Williams,1988-7-23,57682245,F
70000058,Hilmer,Brown,Williams,1997-9-23,43811223,M
70000059,Rodrick,Rodriguez,Johnson,1976-7-25,49875988,M
70000060,Jonathon,Jackson,Jones,1997-8-27,27915725,M
70000061,Esco,Taylor,Wilson,1993-11-11,78735121,M
70000062,Ariel,Taylor,Thomas,1989-11-15,83981351,F
70000063,Ewald,Brown,Martinez,1973-8-26,96748947,F
70000064,George,Davis,Brown,1999-8-26,37333355,F
70000065,Levar,Thomas,Brown,1999-11-16,51322816,F
70000066,Jarrod,Anderson,Miller,1975-11-23,91521523,F
70000067,Justyn,Martin,Martin,1974-8-2,59451638,F
70000068,Grayling,Johnson,Davis,1982-12-20,22341282,F
70000069,Leeroy,Thomas,White,1979-12-8,52686426,F
70000070,Ilo,Rodriguez,Taylor,1985-12-0,74618694,F
70000071,Gusta,Moore,Taylor,1997-2-15,33668191,M
70000072,Delmus,Miller,Johnson,1991-4-9,21888427,M
70000073,Joshua,Brown,Moore,1992-5-2,72337937,F
70000074,Hayes,Moore,Jackson,1984-7-26,63728569,F
70000075,Mat,Brown,Davis,1991-12-13,56256849,M
70000076,Quinten,White,Davis,1976-3-4,96967521,M
70000077,Hilma,Smith,Thomas,1970-9-19,31945537,M
70000078,Coty,Thomas,Smith,1992-8-7,98364895,F
70000079,Reva,Miller,Garcia,1988-12-6,43434654,F
70000080,Lenord,Miller,Johnson,1985-6-28,33439616,F
70000081,Pearly,Martinez,Jones,1989-10-0,88698153,F
70000082,Camryn,Moore,Wilson,1997-6-0,73795454,F
70000083,Kole,Rodriguez,Martin,1987-8-17,63892694,F
70000084,Kiyoko,Lee,Rodriguez,1999-7-3,46423957,F
70000085,Karsyn,Rodriguez,Miller,1989-1-20,93559429,M
70000086,Emerson,Moore,Davis,1991-7-15,92613875,F
70000087,Drury,White,Taylor,1997-1-28,21965896,M
70000088,Shyann,Miller,Brown,1973-12-17,96966924,F
70000089,Inez,Martinez,Garcia,1979-6-21,67132588,M
70000090,Jameel,Thomas,Anderson,1985-7-22,25388779,F
70000091,Kathlyn,Wilson,Rodriguez,1981-10-10,64944863,M
70000092,Jaslyn,Thompson,Smith,1979-1-27,17625481,M
70000093,Lafayette,Martin,Rodriguez,1983-12-9,48719265,F
70000094,Elmo,Johnson,White,1973-5-2,69691248,F
70000095,Carleen,Martin,Anderson,1975-5-19,35613328,F
70000096,Herbert,Jackson,Taylor,1973-11-4,65234925,F
70000097,Chris,Williams,Miller,1978-7-13,49177196,F
