Num_Ticket, Fecha, Hora, Subtotal, Total, ClienteDNI
0,2013-10-1,6:18:52,386.000000,455.480000,70001605
2,2012-2-6,20:12:24,222.000000,261.960000,70000056
4,2015-12-5,12:14:21,387.000000,456.660000,70001390
6,2016-3-9,5:37:37,342.000000,403.560000,70000426
8,2013-6-12,19:50:59,392.000000,462.560000,70000849
10,2015-4-26,23:52:28,153.000000,180.540000,70001835
12,2012-10-18,8:8:40,161.000000,189.980000,70000445
14,2015-11-17,8:24:5,142.000000,167.560000,70001775
16,2017-4-28,2:8:18,169.000000,199.420000,70001201
18,2012-12-2,1:50:43,111.000000,130.980000,70000693
20,2015-3-8,21:0:22,162.000000,191.160000,70001825
22,2013-4-0,20:49:7,172.000000,202.960000,70000044
24,2016-7-27,24:21:7,237.000000,279.660000,70000121
26,2012-5-27,9:19:11,334.000000,394.120000,70001988
28,2013-9-26,7:35:27,149.000000,175.820000,70000409
30,2017-3-7,15:45:19,306.000000,361.080000,70001211
32,2011-2-10,7:7:32,139.000000,164.020000,70001428
34,2011-10-26,17:2:49,281.000000,331.580000,70001399
36,2012-5-19,10:5:15,262.000000,309.160000,70000867
38,2015-5-22,8:10:59,350.000000,413.000000,70001610
40,2016-3-22,9:51:14,266.000000,313.880000,70001895
42,2017-7-20,20:51:19,229.000000,270.220000,70000686
44,2015-4-16,14:43:59,354.000000,417.720000,70001197
46,2013-12-14,13:15:20,111.000000,130.980000,70001487
48,2012-9-15,16:50:13,248.000000,292.640000,70001426
50,2014-12-7,13:9:32,272.000000,320.960000,70001023
52,2015-12-24,4:38:46,145.000000,171.100000,70001264
54,2017-5-15,4:27:54,287.000000,338.660000,70000917
56,2017-5-11,21:4:0,165.000000,194.700000,70001191
58,2011-4-4,5:6:27,100.000000,118.000000,70001671
60,2013-5-18,10:28:16,282.000000,332.760000,70001595
62,2015-1-26,7:32:12,219.000000,258.420000,70000884
64,2017-10-4,5:1:26,118.000000,139.240000,70001634
66,2016-6-27,10:56:51,119.000000,140.420000,70001138
68,2013-6-24,4:26:18,134.000000,158.120000,70000733
70,2015-1-23,8:28:44,149.000000,175.820000,70001389
72,2014-2-22,7:47:52,351.000000,414.180000,70001275
74,2011-3-9,10:43:38,361.000000,425.980000,70000012
76,2014-12-4,4:4:43,161.000000,189.980000,70000987
78,2015-11-1,13:34:8,393.000000,463.740000,70001345
80,2013-9-25,11:25:55,379.000000,447.220000,70001081
82,2016-9-28,1:10:37,355.000000,418.900000,70000148
84,2015-2-15,22:24:34,349.000000,411.820000,70000430
86,2013-5-4,7:39:43,152.000000,179.360000,70001891
88,2011-12-6,12:59:8,103.000000,121.540000,70000251
90,2013-2-6,14:33:21,278.000000,328.040000,70000410
92,2011-6-28,18:18:29,223.000000,263.140000,70000764
94,2014-3-20,20:43:56,319.000000,376.420000,70001417
96,2012-2-7,1:40:27,307.000000,362.260000,70000998
98,2014-12-27,18:28:56,297.000000,350.460000,70000470
100,2013-7-8,1:51:37,166.000000,195.880000,70001051
102,2015-6-26,7:36:44,200.000000,236.000000,70000635
104,2015-2-12,12:43:33,392.000000,462.560000,70000928
106,2015-1-27,15:39:55,391.000000,461.380000,70001148
108,2017-12-20,20:9:1,138.000000,162.840000,70000638
110,2013-8-18,4:4:2,318.000000,375.240000,70000184
112,2017-2-16,12:51:51,304.000000,358.720000,70001680
114,2014-11-1,6:26:49,376.000000,443.680000,70000226
116,2014-12-12,4:51:58,399.000000,470.820000,70001009
118,2012-3-6,24:37:53,155.000000,182.900000,70001419
120,2011-7-9,21:7:22,294.000000,346.920000,70001278
122,2013-12-12,20:58:16,278.000000,328.040000,70000770
124,2016-1-7,19:4:14,164.000000,193.520000,70001049
126,2016-10-21,15:40:55,268.000000,316.240000,70000378
128,2011-2-6,14:55:59,234.000000,276.120000,70000214
130,2017-10-25,19:45:45,281.000000,331.580000,70000480
132,2017-3-14,3:6:43,330.000000,389.400000,70001118
134,2011-9-22,3:33:57,265.000000,312.700000,70000806
136,2016-5-7,14:33:23,174.000000,205.320000,70000577
138,2016-3-17,1:39:15,272.000000,320.960000,70001274
140,2012-12-16,14:37:43,367.000000,433.060000,70001224
142,2015-4-17,4:15:46,383.000000,451.940000,70000968
144,2015-7-16,7:2:54,237.000000,279.660000,70000250
146,2014-12-5,17:49:48,335.000000,395.300000,70001157
148,2014-9-1,14:55:37,180.000000,212.400000,70000631
150,2015-3-1,9:57:0,138.000000,162.840000,70000672
152,2013-1-8,7:54:0,326.000000,384.680000,70000371
154,2015-5-2,20:15:16,397.000000,468.460000,70001491
156,2011-12-17,13:35:16,153.000000,180.540000,70001059
158,2017-6-0,6:43:39,139.000000,164.020000,70001313
160,2016-3-9,8:50:52,144.000000,169.920000,70001291
162,2011-6-28,3:33:24,253.000000,298.540000,70000670
164,2011-10-17,19:48:36,392.000000,462.560000,70001753
166,2011-7-19,13:11:39,238.000000,280.840000,70001574
168,2014-10-2,20:35:26,350.000000,413.000000,70000562
170,2014-7-8,19:35:53,170.000000,200.600000,70001804
172,2011-9-26,18:22:48,364.000000,429.520000,70001786
174,2017-12-16,8:34:26,217.000000,256.060000,70001838
176,2017-12-26,7:32:24,322.000000,379.960000,70000782
178,2014-6-25,17:36:17,351.000000,414.180000,70001400
180,2014-11-10,9:34:4,272.000000,320.960000,70000428
182,2011-6-16,7:4:59,237.000000,279.660000,70001611
184,2015-2-27,12:52:16,192.000000,226.560000,70000010
186,2015-6-4,24:26:24,262.000000,309.160000,70000286
188,2017-4-9,23:29:58,162.000000,191.160000,70000190
190,2011-11-21,20:39:52,323.000000,381.140000,70001280
192,2015-6-13,17:18:6,294.000000,346.920000,70001291
194,2012-8-6,13:0:19,263.000000,310.340000,70001912
196,2011-5-3,19:31:21,179.000000,211.220000,70001948
198,2017-5-25,8:30:49,261.000000,307.980000,70000849
200,2014-8-6,7:0:37,203.000000,239.540000,70001227
202,2017-3-24,12:57:13,252.000000,297.360000,70000704
204,2011-4-19,2:19:7,188.000000,221.840000,70001208
206,2011-1-5,5:56:36,237.000000,279.660000,70000938
208,2015-5-21,16:47:28,157.000000,185.260000,70001010
210,2011-2-19,10:51:50,276.000000,325.680000,70000367
212,2013-1-16,5:16:29,137.000000,161.660000,70000199
214,2012-11-14,6:58:10,138.000000,162.840000,70001447
216,2016-10-5,11:5:21,142.000000,167.560000,70001528
218,2012-6-9,9:19:32,174.000000,205.320000,70001593
220,2011-6-22,20:58:43,284.000000,335.120000,70000962
222,2014-12-6,20:37:41,384.000000,453.120000,70000317
224,2011-1-15,15:13:30,143.000000,168.740000,70001359
226,2011-1-1,6:33:3,307.000000,362.260000,70000964
228,2017-2-2,9:46:55,250.000000,295.000000,70000923
230,2012-4-28,9:7:50,364.000000,429.520000,70000270
232,2011-4-5,3:31:12,374.000000,441.320000,70001715
234,2016-5-16,8:4:55,271.000000,319.780000,70001466
236,2017-1-23,5:29:22,289.000000,341.020000,70000440
238,2015-6-20,19:36:52,142.000000,167.560000,70001257
240,2015-3-12,19:45:20,184.000000,217.120000,70000299
242,2012-2-12,24:29:44,132.000000,155.760000,70000508
244,2015-7-18,2:18:56,358.000000,422.440000,70000308
246,2014-7-6,16:39:55,259.000000,305.620000,70001108
248,2015-10-28,21:3:51,223.000000,263.140000,70001700
250,2015-7-24,18:31:48,193.000000,227.740000,70000644
252,2016-5-2,13:35:19,295.000000,348.100000,70000437
254,2015-2-4,10:47:25,172.000000,202.960000,70000930
256,2014-2-3,17:26:34,365.000000,430.700000,70000524
258,2015-1-7,12:35:10,331.000000,390.580000,70000759
260,2012-5-3,2:20:59,110.000000,129.800000,70001130
