Num_Ticket, Fecha, Hora, Subtotal, Total, ClienteDNI,RUC
1,2017-3-20,9:45:44,236.000000,278.480000,70001525,29153529434
3,2014-6-13,21:38:40,178.000000,210.040000,70001535,31945622582
5,2017-12-3,12:11:52,353.000000,416.540000,70001117,35448577127
7,2011-9-1,4:29:4,209.000000,246.620000,70001757,62981247965
9,2013-6-2,10:3:4,307.000000,362.260000,70000186,67847587247
11,2012-9-12,9:19:9,343.000000,404.740000,70000008,71875394754
13,2014-2-18,5:44:43,309.000000,364.620000,70001130,85496885993
15,2015-10-19,6:10:48,203.000000,239.540000,70000378,52925263887
17,2015-1-26,24:16:6,384.000000,453.120000,70001500,21787745377
19,2013-7-0,14:41:52,330.000000,389.400000,70000503,46912435798
21,2016-5-12,23:26:57,323.000000,381.140000,70000656,16741464417
23,2012-4-10,14:25:56,256.000000,302.080000,70001592,88357826572
25,2014-5-23,17:46:32,187.000000,220.660000,70001230,97546973847
27,2016-7-10,8:18:17,336.000000,396.480000,70000515,38655534352
29,2013-11-20,23:18:58,125.000000,147.500000,70000630,16789331635
31,2017-11-16,18:58:47,379.000000,447.220000,70000394,82717653544
33,2013-5-25,16:11:36,118.000000,139.240000,70000944,51883115597
35,2013-8-13,1:58:39,371.000000,437.780000,70001997,36879185565
37,2017-4-7,18:38:6,252.000000,297.360000,70000372,74822633848
39,2017-2-28,20:19:9,169.000000,199.420000,70001183,84619231967
41,2016-4-28,15:52:18,131.000000,154.580000,70000262,26887679757
43,2013-6-5,18:11:47,268.000000,316.240000,70000440,25819639975
45,2013-5-14,12:35:23,147.000000,173.460000,70001089,99942438648
47,2013-5-15,22:27:7,383.000000,451.940000,70000845,37515917441
49,2011-3-19,17:0:27,140.000000,165.200000,70001852,58199658146
51,2011-11-28,24:44:5,167.000000,197.060000,70001308,44257992415
53,2011-6-5,7:13:19,139.000000,164.020000,70000312,77661211534
55,2013-11-20,21:16:31,354.000000,417.720000,70001282,29469652133
57,2016-4-14,7:3:5,375.000000,442.500000,70000348,34775267622
59,2015-2-28,1:20:55,154.000000,181.720000,70000288,62443661254
61,2013-3-24,1:26:23,107.000000,126.260000,70001492,87856815945
63,2012-10-0,8:52:46,286.000000,337.480000,70000300,58561893961
65,2014-7-22,19:11:37,152.000000,179.360000,70000361,12193537386
67,2013-9-4,22:34:32,232.000000,273.760000,70000484,41346321944
69,2013-5-28,8:40:46,187.000000,220.660000,70000010,42867271976
71,2016-5-15,11:37:28,316.000000,372.880000,70001702,67851929188
73,2016-8-16,14:33:40,308.000000,363.440000,70000323,51645259764
75,2016-7-26,11:17:53,346.000000,408.280000,70000019,54162837849
77,2012-4-21,4:20:45,170.000000,200.600000,70001248,68412659556
79,2012-6-24,19:45:14,346.000000,408.280000,70000382,27278186183
81,2012-7-22,15:45:26,233.000000,274.940000,70001660,18742187248
83,2012-2-26,17:26:6,310.000000,365.800000,70001806,83981994389
85,2012-12-27,12:29:13,355.000000,418.900000,70001523,48832637387
87,2016-9-2,8:4:26,368.000000,434.240000,70000530,67985858678
89,2017-10-2,23:47:25,268.000000,316.240000,70000621,23248627885
91,2014-1-1,1:24:18,183.000000,215.940000,70000171,99154892847
93,2011-8-8,18:8:9,293.000000,345.740000,70000538,28277581362
95,2015-5-15,7:11:11,202.000000,238.360000,70000132,33884339813
97,2017-12-13,1:37:2,130.000000,153.400000,70001392,96992178912
99,2014-11-4,3:36:3,383.000000,451.940000,70001269,71531513755
101,2016-12-16,23:50:46,375.000000,442.500000,70000968,16596712856
103,2016-1-10,18:26:46,387.000000,456.660000,70000288,52634956116
105,2013-9-13,16:22:13,371.000000,437.780000,70001152,92374632682
107,2013-10-21,9:1:26,351.000000,414.180000,70000566,71351858991
109,2013-8-18,6:14:20,178.000000,210.040000,70001818,57295147695
111,2011-9-6,1:19:39,320.000000,377.600000,70001148,56744522481
113,2014-3-10,4:10:15,340.000000,401.200000,70000631,54421646544
115,2017-6-6,19:54:50,150.000000,177.000000,70000858,29556412747
117,2017-8-21,9:49:58,341.000000,402.380000,70001653,54498548246
119,2016-4-13,10:28:19,398.000000,469.640000,70000019,31492141999
121,2011-4-17,17:7:17,185.000000,218.300000,70000135,45136623173
123,2017-9-4,13:0:27,288.000000,339.840000,70000106,14172998445
125,2011-9-19,2:23:45,182.000000,214.760000,70000613,67574771161
127,2015-11-24,12:46:1,376.000000,443.680000,70001302,73994257737
129,2012-7-14,11:8:53,153.000000,180.540000,70000841,75251236832
131,2013-6-28,24:32:18,110.000000,129.800000,70000837,18551976146
133,2013-8-13,6:29:58,336.000000,396.480000,70000602,56636569216
135,2017-6-8,24:39:14,193.000000,227.740000,70001258,75788363376
137,2015-1-5,4:21:51,108.000000,127.440000,70001392,58358994232
139,2017-7-0,12:12:47,285.000000,336.300000,70001856,31935672779
141,2011-3-18,9:6:59,214.000000,252.520000,70000047,38528422132
143,2017-2-7,2:10:9,162.000000,191.160000,70000942,49886876139
145,2012-8-14,13:9:16,356.000000,420.080000,70000595,21321559497
147,2016-9-4,4:30:16,190.000000,224.200000,70001040,24725489226
149,2014-12-15,21:20:26,303.000000,357.540000,70000254,59898654515
151,2013-11-19,21:29:0,173.000000,204.140000,70001381,53564874456
153,2015-4-16,5:41:32,287.000000,338.660000,70000975,61318897537
