DNI_Empleado,DNI_Administrador,Nombre,Apellido_Materno,Apellido_Paterno,Fecha_Nac,Direccion,DepartamentoNombre,AgenciaNombre
64911372,,Hanna,Davis,Davis,1982-5-15,-12.50/-77.68,Asistentes,Piura Terminal
46785922,,Silver,Smith,Martinez,1984-3-4,-12.93/-77.94,Asistentes,Tumbes
89781323,,Verona,Smith,Moore,1974-12-18,-12.73/-77.43,Limpieza,Chiclayo
88272137,,Camron,Martinez,White,1981-9-17,-12.81/-77.48,Ventas,Piura Terminal
45351256,,Felicie,Lee,Johnson,1982-10-28,-12.84/-77.73,Conductores,Plaza Norte
22593564,,Tanesha,Thompson,Johnson,1988-8-22,-12.84/-77.62,Conductores,Máncora
88510427,64911372,Torrie,Thomas,Rodriguez,1988-1-27,-12.95/-77.04,Asistentes,Lima
74167006,88272137,Cornelious,Jackson,Wilson,1992-10-1,-12.94/-77.61,Asistentes,Oficina Bolivar
45525239,88272137,Mimi,Wilson,Wilson,1980-8-3,-12.28/-77.03,Asistentes,Oficina Bolivar
80075676,89781323,Kenzie,Thompson,Garcia,1996-7-1,-12.00/-77.34,Limpieza,Sullana
69013858,89781323,Meda,White,White,1999-9-21,-12.26/-77.54,Conductores,Talara
36570776,64911372,Ruthie,Martinez,White,1979-5-9,-12.30/-77.77,Conductores,Lima
30708524,89781323,Therman,Garcia,Williams,1996-6-7,-12.33/-77.37,Conductores,Sullana
25744982,88272137,Clifton,Williams,Taylor,1970-3-3,-12.40/-77.46,Asistentes,Oficina Bolivar
00530167,46785922,Tory,Miller,Miller,1990-12-18,-12.94/-77.47,Limpieza,Oficina Bolivar
85526763,46785922,Kiarra,Rodriguez,Taylor,1984-12-12,-12.97/-77.61,Ventas,Plaza Norte
35783100,89781323,Haylee,Brown,Jones,1994-6-17,-12.79/-77.70,Asistentes,Paita
45035946,46785922,Akeelah,Williams,Anderson,1971-4-0,-12.29/-77.93,Ventas,Sullana
59862755,64911372,Shelia,Davis,Brown,1998-10-27,-12.03/-77.94,Limpieza,Piura Terminal
13325240,46785922,Wm,Wilson,Williams,1989-1-25,-12.47/-77.27,Limpieza,Oficina Juan Pablo
24479776,88272137,Jabez,Thompson,Jackson,1970-7-28,-12.53/-77.97,Limpieza,Piura Terminal
00222181,46785922,Roy,Smith,Garcia,1998-3-1,-12.66/-77.50,Asistentes,Sullana
32955432,64911372,Velda,Johnson,White,1978-12-20,-12.50/-77.02,Conductores,Piura Terminal
22695475,89781323,Philo,Johnson,Martin,1987-2-23,-12.22/-77.50,Limpieza,Máncora
62693867,64911372,Gemma,Martin,Thomas,1981-2-16,-12.40/-77.90,Limpieza,Sullana
05950172,46785922,Arrie,Anderson,Smith,1975-11-27,-12.17/-77.36,Limpieza,Talara
85690830,89781323,Delaney,Martin,Martin,1989-10-11,-12.16/-77.57,Asistentes,Oficina Juan Pablo
06385011,88272137,Luanne,Moore,Jackson,1984-9-12,-12.95/-77.84,Conductores,Oficina Juan Pablo
46251068,64911372,Jeanie,Williams,White,1996-8-23,-12.86/-77.80,Limpieza,Chimbote
10206713,88272137,Arvin,Williams,Rodriguez,1973-7-19,-12.28/-77.71,Ventas,Paita
19729329,88272137,Helene,Rodriguez,Jackson,1975-7-11,-12.67/-77.80,Limpieza,Sullana
08319152,46785922,Ressie,Miller,Moore,1990-3-25,-12.54/-77.94,Asistentes,Terrapuerto Trujillo
57439119,89781323,Gracelyn,Johnson,Martinez,1992-10-2,-12.05/-77.05,Asistentes,Paita
96664030,46785922,Wilburn,Taylor,Davis,1996-12-5,-12.11/-77.34,Ventas,Paita
61757473,46785922,Nichelle,Johnson,Martinez,1996-2-25,-12.44/-77.79,Limpieza,Máncora
22737943,46785922,Prudence,Thompson,Smith,1990-1-17,-12.87/-77.44,Ventas,Piura Terminal
54731190,89781323,Rustin,Anderson,Johnson,1972-7-22,-12.58/-77.42,Ventas,Los Organos
30640545,89781323,Jann,Martinez,Davis,1996-6-27,-12.41/-77.08,Ventas,Chimbote
48321393,88272137,Mace,Martinez,Johnson,1971-2-20,-12.27/-77.34,Asistentes,Lima
25172312,89781323,Addyson,Martinez,Taylor,1979-12-12,-12.03/-77.20,Asistentes,Piura Terminal
34933877,64911372,Charls,White,Williams,1975-4-17,-12.52/-77.59,Asistentes,Lima
49447747,46785922,Biddie,Smith,Thompson,1983-3-0,-12.28/-77.76,Limpieza,Chimbote
36460619,88272137,Queenie,Wilson,Brown,1998-3-24,-12.92/-77.87,Asistentes,Plaza Norte
86476593,46785922,Delpha,Smith,Williams,1986-9-15,-12.82/-77.65,Asistentes,Máncora
65784991,64911372,Deedee,Wilson,Williams,1978-1-2,-12.45/-77.62,Conductores,Paita
82259556,46785922,Cathey,Miller,Thomas,1999-9-21,-12.80/-77.91,Conductores,Terrapuerto Trujillo
94971425,89781323,Savana,Moore,Williams,1998-4-0,-12.45/-77.31,Conductores,Chimbote
06441442,89781323,Erastus,Rodriguez,Anderson,1975-8-24,-12.44/-77.80,Ventas,Los Organos
04158802,64911372,Ethie,Anderson,White,1985-8-3,-12.01/-77.66,Asistentes,Talara
20935305,88272137,Irving,Williams,Jackson,1974-9-1,-12.69/-77.11,Limpieza,Piura Terminal
45267484,64911372,Kerwin,Anderson,White,1992-7-6,-12.38/-77.80,Asistentes,Los Organos
00083245,64911372,Anastacia,Anderson,Taylor,1998-3-26,-12.54/-77.28,Limpieza,Oficina Juan Pablo
89366199,46785922,Averi,Martinez,Jones,1983-3-21,-12.51/-77.58,Conductores,Chiclayo
84189769,46785922,Leonore,Miller,Smith,1972-4-5,-12.58/-77.96,Conductores,Máncora
00028186,89781323,Le,Wilson,Lee,1989-10-7,-12.67/-77.50,Ventas,Talara
37622478,46785922,Liliana,Taylor,Jones,1994-5-24,-12.28/-77.60,Limpieza,Chiclayo
99844725,64911372,Marry,Lee,Martinez,1986-10-8,-12.90/-77.72,Asistentes,Oficina Bolivar
15455275,88272137,Holland,Thompson,Garcia,1982-2-12,-12.36/-77.04,Asistentes,Los Organos
92580584,89781323,Davonte,Davis,Williams,1976-8-11,-12.01/-77.11,Asistentes,Oficina Juan Pablo
82679433,89781323,Tanisha,Brown,Smith,1985-4-19,-12.74/-77.42,Limpieza,Lima
26495608,89781323,Deandra,Davis,Martin,1997-5-6,-12.97/-77.06,Limpieza,Terrapuerto Trujillo
54931305,88272137,Estie,Garcia,Taylor,1981-2-4,-12.83/-77.34,Conductores,Piura Terminal
12134852,89781323,Crystal,Martinez,White,1985-7-17,-12.78/-77.11,Conductores,Plaza Norte
77405702,64911372,Willow,Jackson,Thomas,1993-7-18,-12.86/-77.18,Ventas,Paita
18674647,64911372,Brantley,Martinez,Thompson,1985-7-5,-12.25/-77.68,Limpieza,Máncora
61592292,88272137,Jessy,Taylor,Anderson,1978-3-28,-12.67/-77.27,Ventas,Piura Terminal
33206947,89781323,Naoma,Jackson,Thompson,1994-6-6,-12.55/-77.47,Limpieza,Talara
85516295,46785922,Frederic,Brown,Williams,1990-5-17,-12.40/-77.46,Limpieza,Oficina Juan Pablo
41976633,88272137,Alize,Jones,Martinez,1991-9-3,-12.82/-77.27,Limpieza,Plaza Norte
76572510,46785922,Miesha,Brown,White,1975-9-28,-12.05/-77.02,Limpieza,Los Organos
54651158,89781323,Monika,Davis,Brown,1994-7-22,-12.11/-77.46,Ventas,Paita Terminal
79535259,64911372,Adamaris,Taylor,Garcia,1977-4-27,-12.04/-77.15,Asistentes,Los Organos
03684993,46785922,Jocelynn,Anderson,Brown,1973-11-1,-12.99/-77.63,Ventas,Plaza Norte
94589104,88272137,Rogers,Wilson,Lee,1995-8-10,-12.23/-77.57,Asistentes,Talara
88628541,64911372,Jabbar,Williams,Lee,1981-10-16,-12.81/-77.35,Limpieza,Tumbes
53501948,88272137,Ciarra,Martinez,Johnson,1984-4-5,-12.88/-77.23,Asistentes,Paita Terminal
70866144,46785922,Lonna,Smith,Garcia,1979-3-6,-12.71/-77.61,Asistentes,Talara
76393398,89781323,Antwon,Smith,Jones,1993-12-5,-12.91/-77.76,Limpieza,Oficina Bolivar
78330703,89781323,Ernesto,Thomas,Williams,1982-4-19,-12.71/-77.08,Ventas,Terrapuerto Trujillo
33168275,88272137,Irl,Johnson,Thompson,1997-4-24,-12.30/-77.30,Ventas,Chimbote
88725115,46785922,Carmelita,Davis,Garcia,1996-10-13,-12.24/-77.28,Limpieza,Paita
56889119,64911372,Jordon,Thompson,Rodriguez,1994-12-23,-12.48/-77.97,Ventas,Máncora
03131559,64911372,Robley,Martin,Wilson,1986-8-3,-12.24/-77.50,Limpieza,Tumbes
40036975,89781323,Brown,Martinez,Smith,1990-1-21,-12.36/-77.38,Limpieza,Máncora
05616156,64911372,Gretchen,Johnson,Taylor,1995-3-23,-12.08/-77.81,Ventas,Plaza Norte
78491259,46785922,Kadyn,Moore,Martinez,1976-7-1,-12.29/-77.69,Asistentes,Los Organos
